#Datasets,HVSP1.temp.tsv,HVSP2.temp.tsv,HVSP3.temp.tsv,HVSP4.temp.tsv,HVSP5.temp.tsv,HVSP6.temp.tsv,HVSP7.temp.tsv,HVSP8.temp.tsv,HVSP9.temp.tsv,HVSP10.temp.tsv,HVSP11.temp.tsv,HVSP12.temp.tsv,HVSP13.temp.tsv,HVSP14.temp.tsv,HVSP15.temp.tsv,HVSP16.temp.tsv,HVSP17.temp.tsv,HVSP18.temp.tsv,HVSP19.temp.tsv,HVSP20.temp.tsv,HVSP21.temp.tsv,HVSP22.temp.tsv,HVSP23.temp.tsv,HVSP24.temp.tsv,HVSP25.temp.tsv,HVSP26.temp.tsv,HVSP27.temp.tsv,HVSP28.temp.tsv,HVSP29.temp.tsv,HVSP30.temp.tsv,HVSP31.temp.tsv,HVSP32.temp.tsv,HVSP33.temp.tsv,HVSP34.temp.tsv,HVSP35.temp.tsv,HVSP36.temp.tsv,HVSP37.temp.tsv,HVSP38.temp.tsv,HVSP39.temp.tsv,HVSP40.temp.tsv,HVSP41.temp.tsv,HVSP42.temp.tsv,HVSP43.temp.tsv,HVSP44.temp.tsv,HVSP45.temp.tsv,HVSP46.temp.tsv,HVSP47.temp.tsv,HVSP48.temp.tsv,HVSP49.temp.tsv,HVSP50.temp.tsv,HVSP51.temp.tsv,HVSP52.temp.tsv,HVSP53.temp.tsv,HVSP54.temp.tsv,HVSP55.temp.tsv,HVSP56.temp.tsv,HVSP57.temp.tsv,HVSP58.temp.tsv,HVSP59.temp.tsv,HVSP60.temp.tsv,HVSP61.temp.tsv,HVSP62.temp.tsv,HVSP63.temp.tsv,HVSP64.temp.tsv,HVSP65.temp.tsv,HVSP66.temp.tsv,HVSP67.temp.tsv,HVSP68.temp.tsv,HVSP69.temp.tsv,HVSP70.temp.tsv,HVSP71.temp.tsv,HVSP72.temp.tsv,HVSP73.temp.tsv,HVSP74.temp.tsv,HVSP75.temp.tsv,HVSP76.temp.tsv,HVSP77.temp.tsv,APJ52.temp.tsv,APJ63.temp.tsv,APJ67.temp.tsv,APJ68.temp.tsv
"Acidobacteria bacterium Mor1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidobacterium sp.",94.0,158.0,115.0,78.0,0.0,185.0,225.0,0.0,74.0,48.0,30.0,63.0,51.0,87.0,38.0,0.0,228.0,117.0,119.0,186.0,0.0,244.0,175.0,0.0,167.0,116.0,129.0,123.0,0.0,211.0,59.0,0.0,194.0,0.0,108.0,0.0,196.0,41.0,98.0,0.0,137.0,29.0,132.0,0.0,117.0,34.0,86.0,0.0,36.0,0.0,163.0,145.0,121.0,87.0,59.0,0.0,57.0,33.0,40.0,144.0,88.0,110.0,127.0,113.0,741.0,70.0,81.0,254.0,40.0,36.0,754.0,67.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidobacterium sp. 4Y35",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candidatus Koribacter versatilis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candidatus Sulfotelmatobacter kueseliae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kocuria sp. cx-116",549.0,669.0,366.0,314.0,27.0,359.0,317.0,0.0,303.0,675.0,937.0,228.0,310.0,514.0,636.0,32.0,640.0,696.0,790.0,770.0,0.0,685.0,499.0,0.0,646.0,707.0,848.0,642.0,0.0,687.0,275.0,0.0,341.0,117.0,329.0,0.0,404.0,235.0,241.0,0.0,469.0,169.0,363.0,0.0,352.0,305.0,364.0,0.0,238.0,28.0,301.0,241.0,152.0,164.0,64.0,27.0,210.0,133.0,100.0,299.0,175.0,211.0,171.0,173.0,429.0,617.0,1036.0,203.0,233.0,437.0,137.0,588.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kocuria sp. cx-455",490.0,645.0,318.0,273.0,25.0,346.0,281.0,0.0,250.0,619.0,839.0,215.0,246.0,475.0,514.0,0.0,555.0,672.0,731.0,639.0,0.0,628.0,452.0,0.0,577.0,598.0,764.0,549.0,0.0,568.0,192.0,0.0,361.0,79.0,263.0,0.0,340.0,221.0,199.0,0.0,377.0,124.0,299.0,0.0,269.0,266.0,331.0,0.0,203.0,27.0,249.0,210.0,128.0,146.0,50.0,29.0,186.0,127.0,71.0,259.0,142.0,182.0,162.0,148.0,360.0,530.0,903.0,168.0,244.0,340.0,101.0,469.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candidatus Sulfotelmatomonas gaucii",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Edaphobacter aggregans",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Edaphobacter lichenicola",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Granulicella sp. GAS466",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Silvibacterium bohemicum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Terriglobus roseus",26.0,0.0,0.0,0.0,30.0,29.0,0.0,0.0,0.0,0.0,31.0,41.0,63.0,36.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,25.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,25.0,0.0,0.0,41.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,0.0,34.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidobacteriales bacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bryobacter aggregatus",0.0,43.0,30.0,0.0,0.0,31.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,37.0,38.0,0.0,51.0,75.0,0.0,45.0,29.0,25.0,29.0,0.0,58.0,0.0,0.0,54.0,0.0,34.0,0.0,53.0,0.0,82.0,0.0,33.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,27.0,31.0,30.0,112.0,34.0,27.0,31.0,0.0,0.0,147.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
