#Datasets	HVSP1.temp.tsv	HVSP2.temp.tsv	HVSP3.temp.tsv	HVSP4.temp.tsv	HVSP5.temp.tsv	HVSP6.temp.tsv	HVSP7.temp.tsv	HVSP9.temp.tsv	HVSP10.temp.tsv	HVSP11.temp.tsv	HVSP12.temp.tsv	HVSP13.temp.tsv	HVSP14.temp.tsv	HVSP15.temp.tsv	HVSP17.temp.tsv	HVSP18.temp.tsv	HVSP19.temp.tsv	HVSP20.temp.tsv	HVSP22.temp.tsv	HVSP23.temp.tsv	HVSP25.temp.tsv	HVSP26.temp.tsv	HVSP27.temp.tsv	HVSP28.temp.tsv	HVSP30.temp.tsv	HVSP31.temp.tsv	HVSP33.temp.tsv	HVSP34.temp.tsv	HVSP35.temp.tsv	HVSP37.temp.tsv	HVSP38.temp.tsv	HVSP39.temp.tsv	HVSP41.temp.tsv	HVSP42.temp.tsv	HVSP43.temp.tsv	HVSP45.temp.tsv	HVSP46.temp.tsv	HVSP47.temp.tsv	HVSP49.temp.tsv	HVSP50.temp.tsv	HVSP51.temp.tsv	HVSP52.temp.tsv	HVSP53.temp.tsv	HVSP54.temp.tsv	HVSP55.temp.tsv	HVSP56.temp.tsv	HVSP57.temp.tsv	HVSP58.temp.tsv	HVSP59.temp.tsv	HVSP60.temp.tsv	HVSP61.temp.tsv	HVSP62.temp.tsv	HVSP63.temp.tsv	HVSP64.temp.tsv	HVSP65.temp.tsv	HVSP66.temp.tsv	HVSP67.temp.tsv	HVSP68.temp.tsv	HVSP69.temp.tsv	HVSP70.temp.tsv	HVSP71.temp.tsv	HVSP72.temp.tsv	HVSP73.temp.tsv
"Acidobacterium"	94.0	158.0	115.0	78.0	0.0	185.0	225.0	74.0	48.0	30.0	63.0	51.0	87.0	38.0	228.0	117.0	119.0	186.0	244.0	175.0	167.0	116.0	129.0	123.0	211.0	59.0	194.0	0.0	108.0	196.0	41.0	98.0	137.0	29.0	132.0	117.0	34.0	86.0	36.0	0.0	163.0	145.0	121.0	87.0	59.0	0.0	57.0	33.0	40.0	144.0	88.0	110.0	127.0	113.0	769.0	70.0	81.0	254.0	40.0	36.0	754.0	67.0	87.0
"Candidatus Koribacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0
"Candidatus Sulfotelmatobacter"	4049.0	4969.0	2632.0	2100.0	234.0	2586.0	2347.0	2084.0	4918.0	6911.0	1695.0	2274.0	3682.0	4314.0	4562.0	5211.0	5562.0	5223.0	4994.0	3792.0	4809.0	5100.0	6062.0	4521.0	4759.0	1784.0	2792.0	763.0	2064.0	2832.0	1764.0	1653.0	3217.0	1145.0	2616.0	2444.0	2303.0	2681.0	1643.0	241.0	2117.0	1569.0	1094.0	1116.0	448.0	212.0	1570.0	1048.0	705.0	2075.0	1224.0	1538.0	1295.0	1279.0	3070.0	4501.0	7292.0	1500.0	1891.0	2850.0	886.0	4119.0	5991.0
"Candidatus Sulfotelmatomonas"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0
"Edaphobacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0
"Granulicella"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
"Silvibacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
"Terriglobus"	26.0	0.0	0.0	0.0	30.0	29.0	0.0	0.0	0.0	31.0	41.0	63.0	36.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	25.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	25.0	0.0	0.0	41.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	25.0	0.0	34.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bryobacter"	0.0	43.0	30.0	0.0	0.0	31.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	25.0	37.0	38.0	51.0	75.0	45.0	29.0	25.0	29.0	58.0	0.0	54.0	0.0	34.0	53.0	0.0	82.0	33.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	50.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	27.0	31.0	30.0	112.0	34.0	27.0	31.0	0.0	0.0	147.0	0.0	29.0
"Paludibaculum"	43.0	66.0	41.0	40.0	0.0	55.0	58.0	0.0	35.0	0.0	0.0	25.0	30.0	0.0	52.0	43.0	53.0	49.0	62.0	104.0	56.0	38.0	52.0	57.0	74.0	0.0	81.0	0.0	42.0	64.0	0.0	111.0	57.0	0.0	38.0	74.0	0.0	41.0	0.0	0.0	71.0	49.0	48.0	34.0	0.0	0.0	0.0	35.0	26.0	83.0	26.0	29.0	36.0	41.0	172.0	33.0	38.0	60.0	0.0	0.0	211.0	28.0	40.0
