Sample Name	Sample Number	AirLab_Code	Seq ID	Sample ID	Sampling	Project Name	Location	Relative Location	Media Type	Collector Name(s)	Sample Type	Flow Rate (L/min)	Flow Rate EOD (L/min)	Sampling Height (cm)	Start Date/Time (YYYY-MM-DD HH:mm:ss)	Sampling Duration (HH:mm:ss)	Samplers	Entered By	DNA Extraction Date (YYYY-MM-DD)	DNA Extraction Kit	DNA Concentration (ng/uL)	DNA Volume of Elution (uL)	DNA Quantification Instrument	DNA Vol. Used for Quantification (uL)	DNA Storage Freezer	DNA Storage Drawer	DNA Performed By
2022/11/23HVS-SASS-PilotA1	1	T6.0 B	HVSP1	C6-B	Continuous	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	23/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	7133	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA2	2	T6.1 B	HVSP2	D6.1-B	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	856	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA3	3	T6.2 B	HVSP3	D6.2-B	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	1193	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA4	4	T6.3 B	HVSP4	D6.3-B	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	1483	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA5	5	T6.4 B	HVSP5	D6.4-B	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	111	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA6	6	T6.5 B	HVSP6	D6.5-B	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	1073	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA7	7	T6.6 B	HVSP7	D6.6-B	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	809	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotB8	8	T24/6 BLANK B	HVSP8	B6-B		HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	B	0	0	0	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	125	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA9	9	T6.0 V	HVSP9	C6-V	Continuous	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	95	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA10	10	T6.1 V	HVSP10	D6.1-V	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	1723	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA11	11	T6.2 V	HVSP11	D6.2-V	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	12	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
2022/11/28HVS-SASS-PilotA12	12	T6.3 V	HVSP12	D6.3-V	Discrete	HVS-SASS-Pilot	AirLab Terrace	Outdoor	Quartz Filter	AirLab Spain	A	500	0	1600	28/11/2022 11:00	0:00:00	High Volume Sampler1 11:00:00-11:00:00	Cassie Heinle	28/11/2022	Phe-Chlo method (AirLab Spain)	399	17	Quantus Promega (AirLab Spain)	5	-20C MPL Freezer (New)	Yee Hui	AirLab Spain
